Marcador;IdEmpresa;idmovimento;IdMovCaixaItem;IdContaContabil;ContaFormatada;NomeConta;DataMovimento;tiposoma;ValorMovimento;ValorEntrada;ValorSaida;Fornecedor_Observacao;TipoOrigem;TipoMovimento;IdTitulo;ValorPago;Juros;Desconto;NumeroTitulo;BancoDuplicata;NomeBanco;IdEntidade
-->;1;11.913.601;45.253.385;25.005;1.1.01.002028;Banco do Brasil c/c 38248-5;2025-06-02;E;17.635,19;17.635,19;0;MOVIMENTAÇÃO;0;1;0;0;0;0;;0;;
   ;1;11.913.601;45.253.386;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;818,11;PER LUI COMERCIO DE PECAS E ACESSORIOS EIRELI - ME;1;1;38.953.401;818,11;0;0;186846/2;1;Banco do Brasil 38248-5;C003334
   ;1;11.913.601;45.253.387;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;748,2;USINA PANORAMA SA;1;1;12.280.903;748,2;0;0;063800/1;1;Banco do Brasil 38248-5;C000050
   ;1;11.913.601;45.253.388;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;2.300;VALE DO VERDAO SA ACUCAR;1;1;12.287.903;2.300;0;0;063847/1;1;Banco do Brasil 38248-5;C000025
   ;1;11.913.601;45.253.389;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;719,72;VALE DO VERDAO SA ACUCAR;1;1;12.288.703;719,72;0;0;063855/1;1;Banco do Brasil 38248-5;C000025
   ;1;11.913.601;45.253.390;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;4.470;VALE DO VERDAO SA ACUCAR;1;1;12.288.903;4.470;0;0;063857/1;1;Banco do Brasil 38248-5;C000025
   ;1;11.913.601;45.253.391;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;212,5;NARDINI AGROINDUSTRIAL LTDA;1;1;39.415.601;212,5;0;0;189526/1;1;Banco do Brasil 38248-5;C000085
   ;1;11.913.601;45.253.392;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;640;NARDINI AGROINDUSTRIAL LTDA;1;1;39.449.501;640;0;0;189716/1;1;Banco do Brasil 38248-5;C000085
   ;1;11.913.601;45.253.393;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;168;NARDINI AGROINDUSTRIAL LTDA;1;1;39.510.401;168;0;0;190105/1;1;Banco do Brasil 38248-5;C000085
   ;1;11.913.601;45.253.394;142;4.1.02.001001;Receita de Vendas ;2025-06-02;S;0;0;227,74;CENTRAL ACUCAREIRA SANTO ANTONIO S A;1;1;39.589.201;227,74;0;0;190536/1;1;Banco do Brasil 38248-5;C006395
